Position,Team,GP,W,D,L,GD,G,GC,Pts
1,Liverpool,7,6,0,1,+11,13,2,18
2,Manchester City,7,5,2,0,+9,17,8,17
3,Arsenal,7,5,2,0,+9,15,6,17
4,Chelsea,7,4,2,1,+8,16,8,14
5,Aston Villa,7,4,2,1,+3,12,9,14
6,Brighton,7,3,3,1,+3,13,10,12
7,Newcastle Utd,7,3,3,1,+1,8,7,12
8,Fulham,7,3,2,2,+2,10,8,11
9,Tottenham,7,3,1,3,+6,14,8,10
10,Nott'ham Forest,7,2,4,1,+1,7,6,10
11,Brentford,7,3,1,3,0,13,13,10
12,West Ham,7,2,2,3,-1,10,11,8
13,Bournemouth,7,2,2,3,-2,8,10,8
14,Manchester Utd,7,2,2,3,-3,5,8,8
15,Leicester City,7,1,3,3,-3,9,12,6
16,Everton,7,1,2,4,-8,7,15,5
17,Ipswich Town,7,0,4,3,-8,6,14,4
18,Crystal Palace,7,0,3,4,-5,5,10,3
19,Southampton,7,0,1,6,-11,4,15,1
20,Wolves,7,0,1,6,-12,9,21,1
