Wk,Score,Home,Away,xG_home,xG_away
1,1–0,Manchester Utd,Fulham,2.4,0.4
1,0–2,Ipswich Town,Liverpool,0.5,2.6
1,1–0,Newcastle Utd,Southampton,0.3,1.8
1,1–1,Nott'ham Forest,Bournemouth,1.3,1.2
1,0–3,Everton,Brighton,0.5,1.4
1,2–0,Arsenal,Wolves,1.2,0.5
1,1–2,West Ham,Aston Villa,2.3,2.0
1,2–1,Brentford,Crystal Palace,1.6,1.2
1,0–2,Chelsea,Manchester City,1.0,0.8
1,1–1,Leicester City,Tottenham,1.0,1.2
2,2–1,Brighton,Manchester Utd,2.1,1.4
2,4–0,Tottenham,Everton,2.4,1.0
2,2–1,Fulham,Leicester City,1.8,0.6
2,0–2,Crystal Palace,West Ham,1.3,1.4
2,4–1,Manchester City,Ipswich Town,3.3,0.3
2,0–1,Southampton,Nott'ham Forest,0.1,2.2
2,0–2,Aston Villa,Arsenal,1.2,0.9
2,1–1,Bournemouth,Newcastle Utd,2.2,1.6
2,2–6,Wolves,Chelsea,1.9,1.6
2,2–0,Liverpool,Brentford,2.5,0.5
3,1–1,Arsenal,Brighton,2.1,1.7
3,2–3,Everton,Bournemouth,1.8,2.4
3,1–2,Leicester City,Aston Villa,0.4,1.4
3,1–1,Nott'ham Forest,Wolves,1.0,0.7
3,1–1,Ipswich Town,Fulham,0.4,0.9
3,3–1,Brentford,Southampton,2.8,1.5
3,1–3,West Ham,Manchester City,0.7,3.0
3,2–1,Newcastle Utd,Tottenham,1.8,1.2
3,1–1,Chelsea,Crystal Palace,2.4,0.5
3,0–3,Manchester Utd,Liverpool,1.4,1.8
4,0–3,Southampton,Manchester Utd,1.1,2.6
4,0–0,Brighton,Ipswich Town,1.6,0.3
4,2–2,Crystal Palace,Leicester City,2.5,1.2
4,2–1,Manchester City,Brentford,2.1,1.0
4,0–1,Liverpool,Nott'ham Forest,0.9,0.4
4,1–1,Fulham,West Ham,1.5,0.8
4,3–2,Aston Villa,Everton,2.1,0.9
4,0–1,Bournemouth,Chelsea,1.7,0.8
4,0–1,Tottenham,Arsenal,0.7,0.7
4,1–2,Wolves,Newcastle Utd,1.2,1.5
5,0–3,West Ham,Chelsea,0.9,2.2
5,3–0,Liverpool,Bournemouth,2.0,1.1
5,1–1,Leicester City,Everton,0.7,1.1
5,1–1,Southampton,Ipswich Town,2.4,1.6
5,3–1,Tottenham,Brentford,3.5,0.8
5,3–1,Fulham,Newcastle Utd,2.2,1.5
5,3–1,Aston Villa,Wolves,1.7,0.5
5,0–0,Crystal Palace,Manchester Utd,1.0,1.6
5,2–2,Brighton,Nott'ham Forest,1.0,1.4
5,2–2,Manchester City,Arsenal,2.1,0.7
6,1–1,Newcastle Utd,Manchester City,1.6,0.9
6,4–2,Chelsea,Brighton,4.2,1.1
6,4–2,Arsenal,Leicester City,4.4,0.3
6,1–1,Brentford,West Ham,0.4,1.0
6,2–1,Everton,Crystal Palace,0.9,0.9
6,0–1,Nott'ham Forest,Fulham,0.8,1.3
6,1–2,Wolves,Liverpool,0.6,2.5
6,2–2,Ipswich Town,Aston Villa,1.2,0.8
6,0–3,Manchester Utd,Tottenham,1.0,4.4
6,3–1,Bournemouth,Southampton,1.3,0.6
7,0–1,Crystal Palace,Liverpool,0.6,1.4
7,3–2,Manchester City,Fulham,1.6,2.6
7,5–3,Brentford,Wolves,4.2,1.0
7,4–1,West Ham,Ipswich Town,3.6,0.6
7,3–1,Arsenal,Southampton,2.8,0.6
7,1–0,Leicester City,Bournemouth,0.8,2.1
7,0–0,Everton,Newcastle Utd,0.7,2.1
7,0–0,Aston Villa,Manchester Utd,0.5,0.6
7,1–1,Chelsea,Nott'ham Forest,2.3,0.9
7,3–2,Brighton,Tottenham,1.8,1.3
